Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand;λ_cCM;C_system_total;C_cCM_vol;C_cCM_MidMerit;C_cCM_Baseload;C_cCM_Peak;C_cCM_WindOnshore
246.0;0.08749;1.00809;0.2;0.2;0.15;4.1;0.54;0.15;4.94;2.0;-49.99681;7.62464;0.1125;1.0;-0.86695;3.66587;3.075;1.2;-8.00645;4.44261;0.405;2.5;-62.95949;9.58294;0.1125;0.98999;5.00528;0.00015;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.15075;-4.12747;-0.54394;-0.15082;0.0;0.0;0.0;0.0;0.15075;4.12747;0.54394;0.15082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.97298;5.98107;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
247.0;0.10266;1.02244;0.2;0.2;0.27;4.74;1.35;0.45;6.81;2.0;-27.776;7.62464;0.2025;1.0;-0.74989;3.66587;3.555;1.2;-3.20258;4.44261;1.0125;2.5;-20.9865;9.58294;0.3375;1.12499;5.01498;1.71101;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.27081;-4.75163;-1.35514;-0.45173;0.0;0.0;0.0;0.0;0.27081;4.75163;1.35514;0.45173;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.82931;7.85175;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
248.0;0.10697;1.04544;0.2;0.2;0.54;5.03;2.64;0.87;9.08;2.0;-13.888;7.62464;0.405;1.0;-0.70666;3.66587;3.7725;1.2;-1.63768;4.44261;1.98;2.5;-10.85509;9.58294;0.6525;1.25999;5.01503;3.86757;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.54131;-5.03625;-2.64743;-0.87295;0.0;0.0;0.0;0.0;0.54131;5.03625;2.64743;0.87295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.09794;10.14338;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
249.0;0.10697;1.07675;0.2;0.2;0.99;4.84;2.7;0.6;9.13;2.0;-7.57527;7.62464;0.7425;1.0;-0.7344;3.66587;3.63;1.2;-1.60129;4.44261;2.025;2.5;-15.73987;9.58294;0.45;1.30499;5.01503;3.86948;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.9774;-4.83101;-2.7076;-0.59754;0.0;0.0;0.0;0.0;0.9924;4.84601;2.7076;0.60204;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.015;0.0;0.0045;0.0345;0.0;9.14804;10.22478;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
250.0;0.15011;1.09172;0.2;0.2;1.2;5.41;3.33;0.3;10.24;2.0;-6.2496;7.62464;0.9;1.0;-0.65702;3.66587;4.0575;1.2;-1.29834;4.44261;2.4975;2.5;-31.47975;9.58294;0.225;1.35;5.01514;4.31234;0.04943;4.31239;5.01519;2.63526;4.5;-0.971;-5.12606;-3.30614;-0.23215;0.0;0.0;0.0;0.0;1.196;5.35106;3.30614;0.29965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.225;0.225;0.0;0.0675;0.5175;0.0;10.15285;11.24457;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
251.0;0.10628;1.08018;0.2;0.2;1.35;5.02;3.66;0.18;10.21;2.0;-5.5552;7.62464;1.0125;1.0;-0.70807;3.66587;3.765;1.2;-1.18128;4.44261;2.745;2.5;-52.46625;9.58294;0.135;1.34999;5.01502;3.53195;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.73839;-4.4122;-3.67088;0.00388;0.0;0.0;0.0;0.0;1.35339;5.0272;3.67088;0.18062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.615;0.615;0.0;0.1845;1.4145;0.0;10.2321;11.31228;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
252.0;0.10565;1.03376;0.2;0.2;1.32;5.07;4.11;0.21;10.71;2.0;-5.68146;7.62464;0.99;1.0;-0.70108;3.66587;3.8025;1.2;-1.05194;4.44261;3.0825;2.5;-44.97107;9.58294;0.1575;1.39499;5.01502;3.21909;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.39343;-4.14817;-4.12282;0.06826;0.0;0.0;0.0;0.0;1.32343;5.07817;4.12282;0.21074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.93;0.93;0.0;0.279;2.139;0.0;10.73516;11.76892;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
253.0;0.10654;0.91673;0.2;0.2;1.47;5.73;4.11;0.24;11.55;2.0;-5.10171;7.62464;1.1025;1.0;-0.62033;3.66587;4.2975;1.2;-1.05194;4.44261;3.0825;2.5;-39.34968;9.58294;0.18;1.25999;5.01502;3.66215;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.36364;-4.62781;-4.12197;0.09217;0.0;0.0;0.0;0.0;1.47364;5.73781;4.12197;0.24083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.11;1.11;0.0;0.333;2.553;0.0;11.57425;12.49098;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
254.0;0.10435;0.81289;0.2;0.2;1.77;4.67;3.84;0.33;10.61;2.0;-4.23702;7.62464;1.3275;1.0;-0.76113;3.66587;3.5025;1.2;-1.12591;4.44261;2.88;2.5;-28.61795;9.58294;0.2475;1.21499;5.015;2.56407;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.6199;-3.52424;-3.85313;0.01529;0.0;0.0;0.0;0.0;1.7749;4.67924;3.85313;0.33121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.155;1.155;0.0;0.3465;2.6565;0.0;10.63849;11.45138;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
255.0;0.10217;0.89134;0.2;0.2;1.47;4.8;3.06;0.18;9.51;2.0;-5.10171;7.62464;1.1025;1.0;-0.74052;3.66587;3.6;1.2;-1.4129;4.44261;2.295;2.5;-52.46625;9.58294;0.135;1.25999;5.01498;1.46427;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.3045;-3.64244;-3.072;0.1703;0.0;0.0;0.0;0.0;1.4745;4.81244;3.072;0.1807;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.17;1.17;0.0;0.351;2.691;0.0;9.53964;10.43098;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
256.0;0.10231;0.9213;0.2;0.2;1.26;5.18;2.97;0.18;9.59;2.0;-5.952;7.62464;0.945;1.0;-0.68619;3.66587;3.885;1.2;-1.45572;4.44261;2.2275;2.5;-52.46625;9.58294;0.135;1.57499;5.01498;1.53489;1.0e-5;4.31239;5.01519;2.63526;4.5;-0.21383;-4.14322;-2.98156;0.1343;0.0;0.0;0.0;0.0;1.26383;5.19322;2.98156;0.1807;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.05;1.05;0.0;0.315;2.415;0.0;9.61931;10.54061;0.00277;16.46284;11.96284;4.31239;5.01519;2.63526;0.0
