Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand
21.0;0.15316;1.22179;0.7;0.7;2.7;3.85;2.55;0.99;10.09;2.0;-2.7776;7.62464;2.025;1.0;-0.92324;3.66587;2.8875;1.2;-1.69548;4.44261;1.9125;2.5;-9.53932;9.58294;0.7425;0.27;5.99798;3.49496;1.47187;3.49497;5.99799;1.9783;4.5;-2.68991;-3.80475;-2.52993;-0.98852;0.0;0.0;0.0;0.0;2.68991;3.80475;2.52993;0.98852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0131;11.23489
22.0;0.1047;1.05882;0.7;0.7;2.4;4.054;1.65;0.33;8.434;2.0;-3.1248;7.62464;1.8;1.0;-0.87679;3.66587;3.0405;1.2;-2.62029;4.44261;1.2375;2.5;-28.61795;9.58294;0.2475;0.315;5.99797;3.20057;0.0;3.49497;5.99799;1.9783;4.5;-2.40653;-4.06161;-1.65551;-0.3312;0.0;0.0;0.0;0.0;2.40653;4.06161;1.65551;0.3312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.45485;9.51367
23.0;0.10195;1.0796;0.7;0.7;1.8;3.785;1.05;0.15;6.785;2.0;-4.1664;7.62464;1.35;1.0;-0.9391;3.66587;2.83875;1.2;-4.1176;4.44261;0.7875;2.5;-62.95949;9.58294;0.1125;0.315;5.99796;1.57209;0.0;3.49497;5.99799;1.9783;4.5;-1.80556;-3.79504;-1.05417;-0.15059;0.0;0.0;0.0;0.0;1.80556;3.79504;1.05417;0.15059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.80536;7.88496
24.0;0.10049;1.21054;0.7;0.7;1.5;3.6;0.75;0.12;5.97;2.0;-4.99968;7.62464;1.125;1.0;-0.98736;3.66587;2.7;1.2;-5.76464;4.44261;0.5625;2.5;-78.69937;9.58294;0.09;0.36;5.99795;0.84236;0.0;3.49497;5.99799;1.9783;4.5;-1.50493;-3.61103;-0.75323;-0.12049;0.0;0.0;0.0;0.0;1.50493;3.61103;0.75323;0.12049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.98968;7.20022
25.0;0.08679;1.28327;0.7;0.7;1.26;3.25;0.165;0.12;4.795;2.0;-5.952;7.62464;0.945;1.0;-1.09369;3.66587;2.4375;1.2;-26.20292;4.44261;0.12375;2.5;-78.69937;9.58294;0.09;1.395;4.71411;3.0e-5;0.0;3.49497;5.99799;1.9783;4.5;-1.26644;-3.27248;-0.16623;-0.12066;0.0;0.0;0.0;0.0;1.26644;3.27248;0.16623;0.12066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.82581;6.10909
26.0;0.08424;1.25792;0.7;0.7;0.27;3.26;0.165;0.06;3.755;2.0;-27.776;7.62464;0.2025;1.0;-1.09033;3.66587;2.445;1.2;-26.20292;4.44261;0.12375;2.5;-157.39874;9.58294;0.045;1.35;3.69103;2.0e-5;0.0;3.49497;5.99799;1.9783;4.5;-0.27147;-3.28489;-0.16633;-0.06035;0.0;0.0;0.0;0.0;0.27147;3.28489;0.16633;0.06035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.78304;5.04096
27.0;0.08458;1.20004;0.7;0.7;0.24;3.41;0.165;0.09;3.905;2.0;-31.248;7.62464;0.18;1.0;-1.04237;3.66587;2.5575;1.2;-26.20292;4.44261;0.12375;2.5;-104.93249;9.58294;0.0675;1.305;3.82894;2.0e-5;0.0;3.49497;5.99799;1.9783;4.5;-0.2413;-3.4357;-0.16632;-0.09052;0.0;0.0;0.0;0.0;0.2413;3.4357;0.16632;0.09052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.93384;5.13388
28.0;0.08403;1.19813;0.7;0.7;0.21;3.18;0.159;0.09;3.639;2.0;-35.712;7.62464;0.1575;1.0;-1.11776;3.66587;2.385;1.2;-27.19171;4.44261;0.11925;2.5;-104.93249;9.58294;0.0675;1.26;3.60464;2.0e-5;0.0;3.49497;5.99799;1.9783;4.5;-0.21115;-3.20447;-0.16029;-0.09052;0.0;0.0;0.0;0.0;0.21115;3.20447;0.16029;0.09052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.66644;4.86457
29.0;0.08542;1.20884;0.7;0.7;0.15;3.75;0.33;0.09;4.32;2.0;-49.99681;7.62464;0.1125;1.0;-0.94786;3.66587;2.8125;1.2;-13.10146;4.44261;0.2475;2.5;-104.93249;9.58294;0.0675;1.395;4.16515;3.0e-5;0.0;3.49497;5.99799;1.9783;4.5;-0.15079;-3.77738;-0.33257;-0.09051;0.0;0.0;0.0;0.0;0.15079;3.77738;0.33257;0.09051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.35126;5.5601
30.0;0.08854;1.27088;0.7;0.7;0.15;4.66;0.54;0.15;5.5;2.0;-49.99681;7.62464;0.1125;1.0;-0.76277;3.66587;3.495;1.2;-8.00645;4.44261;0.405;2.5;-62.95949;9.58294;0.1125;1.395;5.41121;4.0e-5;0.0;3.49497;5.99799;1.9783;4.5;-0.15073;-4.68994;-0.54382;-0.1508;0.0;0.0;0.0;0.0;0.15073;4.68994;0.54382;0.1508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.5353;6.80618
31.0;0.10166;1.34344;0.7;0.7;0.3;5.4;1.5;0.39;7.59;2.0;-24.9984;7.62464;0.225;1.0;-0.65824;3.66587;4.05;1.2;-2.88232;4.44261;1.125;2.5;-24.21519;9.58294;0.2925;1.53;5.99796;1.42886;0.0;3.49497;5.99799;1.9783;4.5;-0.30094;-5.41476;-1.50606;-0.39154;0.0;0.0;0.0;0.0;0.30094;5.41476;1.50606;0.39154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.6133;8.95674
32.0;0.10377;1.36522;0.7;0.7;0.54;4.78;2.55;0.84;8.71;2.0;-13.888;7.62464;0.405;1.0;-0.74362;3.66587;3.585;1.2;-1.69548;4.44261;1.9125;2.5;-11.24277;9.58294;0.63;1.62;5.99796;2.4813;0.0;3.49497;5.99799;1.9783;4.5;-0.54154;-4.79023;-2.55906;-0.84314;0.0;0.0;0.0;0.0;0.54154;4.79023;2.55906;0.84314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.73397;10.09919
33.0;0.10438;1.40152;0.7;0.7;0.9;4.77;2.82;0.54;9.03;2.0;-8.3328;7.62464;0.675;1.0;-0.74518;3.66587;3.5775;1.2;-1.53315;4.44261;2.115;2.5;-17.48875;9.58294;0.405;1.665;5.99796;2.79207;0.0;3.49497;5.99799;1.9783;4.5;-0.90249;-4.77939;-2.82962;-0.54198;0.0;0.0;0.0;0.0;0.90249;4.77939;2.82962;0.54198;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.05347;10.45499
34.0;0.10471;1.47287;0.7;0.7;1.14;4.97;3.18;0.27;9.56;2.0;-6.57853;7.62464;0.855;1.0;-0.71519;3.66587;3.7275;1.2;-1.35959;4.44261;2.385;2.5;-34.9775;9.58294;0.2025;1.665;5.99785;3.22119;0.0;3.49497;5.99799;1.9783;4.5;-1.0681;-4.90432;-3.1906;-0.24848;0.0;0.0;0.0;0.0;1.1431;4.97932;3.1906;0.27098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.075;0.075;0.0;0.0225;0.1725;0.0;9.58401;11.05688
35.0;0.10362;1.4102;0.7;0.7;1.47;4.29;3.42;0.18;9.36;2.0;-5.10171;7.62464;1.1025;1.0;-0.82855;3.66587;3.2175;1.2;-1.26418;4.44261;2.565;2.5;-52.46625;9.58294;0.135;1.665;5.99796;2.40933;0.0;3.49497;5.99799;1.9783;4.5;-1.15921;-3.98436;-3.43226;-0.08617;0.0;0.0;0.0;0.0;1.47421;4.29936;3.43226;0.18067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.315;0.315;0.0;0.0945;0.7245;0.0;9.38651;10.79671
36.0;0.10381;1.31434;0.7;0.7;1.17;5.02;3.78;0.21;10.18;2.0;-6.40985;7.62464;0.8775;1.0;-0.70807;3.66587;3.765;1.2;-1.14378;4.44261;2.835;2.5;-44.97107;9.58294;0.1575;1.71;5.99796;2.50364;0.0;3.49497;5.99799;1.9783;4.5;-0.60332;-4.46068;-3.79339;-0.03978;0.0;0.0;0.0;0.0;1.17332;5.03068;3.79339;0.21078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.57;0.57;0.0;0.171;1.311;0.0;10.20818;11.52253
37.0;0.10405;1.15546;0.7;0.7;1.47;5.02;3.99;0.24;10.72;2.0;-5.10171;7.62464;1.1025;1.0;-0.70807;3.66587;3.765;1.2;-1.08358;4.44261;2.9925;2.5;-39.34968;9.58294;0.18;1.8;5.99796;2.62334;0.0;3.49497;5.99799;1.9783;4.5;-0.82913;-4.38535;-4.00391;-0.04739;0.0;0.0;0.0;0.0;1.47413;5.03035;4.00391;0.24089;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.645;0.645;0.0;0.1935;1.4835;0.0;10.74928;11.90474
38.0;0.10409;1.32303;0.7;0.7;1.98;4.75;3.63;0.3;10.66;2.0;-3.78764;7.62464;1.485;1.0;-0.74831;3.66587;3.5625;1.2;-1.19104;4.44261;2.7225;2.5;-31.47975;9.58294;0.225;1.89;5.99796;2.64067;0.0;3.49497;5.99799;1.9783;4.5;-1.34055;-4.11474;-3.64263;-0.10761;0.0;0.0;0.0;0.0;1.98555;4.75974;3.64263;0.30111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.645;0.645;0.0;0.1935;1.4835;0.0;10.68904;12.01206
39.0;0.10193;1.22784;0.7;0.7;1.35;4.65;3.48;0.18;9.66;2.0;-5.5552;7.62464;1.0125;1.0;-0.76441;3.66587;3.4875;1.2;-1.24238;4.44261;2.61;2.5;-52.46625;9.58294;0.135;1.98;5.99796;1.56106;0.0;3.49497;5.99799;1.9783;4.5;-0.75417;-4.06236;-3.49384;-0.00071;0.0;0.0;0.0;0.0;1.35417;4.66236;3.49384;0.18071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.6;0.0;0.18;1.38;0.0;9.69109;10.91893
40.0;0.10105;1.27443;0.7;0.7;1.32;4.81;2.76;0.18;9.07;2.0;-5.68146;7.62464;0.99;1.0;-0.73898;3.66587;3.6075;1.2;-1.56648;4.44261;2.07;2.5;-52.46625;9.58294;0.135;1.98;5.99795;1.12055;0.0;3.49497;5.99799;1.9783;4.5;-0.76924;-4.26898;-2.77154;-0.01422;0.0;0.0;0.0;0.0;1.32424;4.82398;2.77154;0.18072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.555;0.555;0.0;0.1665;1.2765;0.0;9.10048;10.37491
41.0;0.15071;1.27381;0.7;0.7;3.06;5.14;2.55;0.48;11.23;2.0;-2.45082;7.62464;2.295;1.0;-0.69153;3.66587;3.855;1.2;-1.69548;4.44261;1.9125;2.5;-19.67484;9.58294;0.36;2.025;5.99797;3.49495;0.03662;3.49497;5.99799;1.9783;4.5;-2.67456;-4.70812;-2.53137;-0.36691;0.0;0.0;0.0;0.0;3.04956;5.08312;2.53137;0.47941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.375;0.0;0.1125;0.8625;0.0;11.14346;12.41727
