Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand;λ_dCM;C_system_total;C_dCM_vol;C_dCM_MidMerit;C_dCM_Baseload;C_dCM_Peak;C_dCM_WindOnshore;C_dCM_LV_MED;C_dCM_MV_LOAD;C_dCM_LV_HIGH;C_dCM_LV_LOW
273.0;0.15089;1.32691;0.2;0.2;0.93;5.48;2.94;0.57;9.92;2.0;-8.064;7.62464;0.6975;1.0;-0.64863;3.66587;4.11;1.2;-1.47057;4.44261;2.205;2.5;-16.56829;9.58294;0.4275;1.395;5.01478;4.31033;0.43998;4.31034;5.01483;2.14496;4.5;-0.9268;-5.41909;-2.9184;-0.56928;0.0;0.0;0.0;0.0;0.9268;5.41909;2.9184;0.56928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.83358;11.16049;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
274.0;0.15083;1.34096;0.2;0.2;1.11;5.05;3.3;0.3;9.76;2.0;-6.75633;7.62464;0.8325;1.0;-0.70386;3.66587;3.7875;1.2;-1.31015;4.44261;2.475;2.5;-31.47975;9.58294;0.225;1.215;5.01478;4.31033;0.40705;4.31034;5.01483;2.14496;4.5;-1.0762;-4.96396;-3.27581;-0.29063;0.0;0.0;0.0;0.0;1.1062;4.99396;3.27581;0.29963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.03;0.0;0.009;0.069;0.0;9.67559;11.01655;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
275.0;0.12676;1.40405;0.2;0.2;1.41;4.29;3.72;0.18;9.6;2.0;-5.31881;7.62464;1.0575;1.0;-0.82855;3.66587;3.2175;1.2;-1.16223;4.44261;2.79;2.5;-52.46625;9.58294;0.135;1.035;5.01475;4.31029;2.0e-5;4.31034;5.01483;2.14496;4.5;-1.13969;-4.00142;-3.71342;-0.09923;0.0;0.0;0.0;0.0;1.40969;4.27142;3.71342;0.18023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27;0.27;0.0;0.081;0.621;0.0;9.57477;10.97882;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
276.0;0.10676;1.13383;0.2;0.2;1.2;4.84;3.63;0.21;9.88;2.0;-6.2496;7.62464;0.9;1.0;-0.7344;3.66587;3.63;1.2;-1.19104;4.44261;2.7225;2.5;-44.97107;9.58294;0.1575;0.85499;5.01467;3.78368;1.0e-5;4.31034;5.01483;2.14496;4.5;-0.60294;-4.2463;-3.64039;-0.03072;0.0;0.0;0.0;0.0;1.20294;4.8463;3.64039;0.21072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.6;0.0;0.18;1.38;0.0;9.90034;11.03417;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
277.0;0.15083;1.11647;0.2;0.2;1.5;5.62;3.93;0.24;11.29;2.0;-4.99968;7.62464;1.125;1.0;-0.63247;3.66587;4.215;1.2;-1.10012;4.44261;2.9475;2.5;-39.34968;9.58294;0.18;0.675;5.01478;4.31033;0.41183;4.31034;5.01483;2.14496;4.5;-0.66986;-4.73262;-3.90118;0.0078;0.0;0.0;0.0;0.0;1.49486;5.55762;3.90118;0.2397;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.825;0.825;0.0;0.2475;1.8975;0.0;11.19336;12.30983;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
278.0;0.10648;0.96774;0.2;0.2;1.68;4.85;3.6;0.3;10.43;2.0;-4.464;7.62464;1.26;1.0;-0.73288;3.66587;3.6375;1.2;-1.20097;4.44261;2.7;2.5;-31.47975;9.58294;0.225;0.585;5.01467;3.64618;1.0e-5;4.31034;5.01483;2.14496;4.5;-0.73918;-3.91169;-3.61054;-0.01753;0.0;0.0;0.0;0.0;1.68418;4.85669;3.61054;0.30103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.945;0.945;0.0;0.2835;2.1735;0.0;10.45244;11.42018;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
279.0;0.10663;1.12106;0.2;0.2;1.59;5.09;3.63;0.18;10.49;2.0;-4.71668;7.62464;1.1925;1.0;-0.69833;3.66587;3.8175;1.2;-1.19104;4.44261;2.7225;2.5;-52.46625;9.58294;0.135;0.585;5.01467;3.72091;1.0e-5;4.31034;5.01483;2.14496;4.5;-0.58892;-4.09181;-3.6405;0.12088;0.0;0.0;0.0;0.0;1.59392;5.09681;3.6405;0.18062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.005;1.005;0.0;0.3015;2.3115;0.0;10.51185;11.63291;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
280.0;0.10497;1.23838;0.2;0.2;1.32;5.1;2.91;0.18;9.51;2.0;-5.68146;7.62464;0.99;1.0;-0.69696;3.66587;3.825;1.2;-1.48573;4.44261;2.1825;2.5;-52.46625;9.58294;0.135;0.585;5.01465;2.89382;1.0e-5;4.31034;5.01483;2.14496;4.5;-0.33355;-4.11919;-2.91953;0.11635;0.0;0.0;0.0;0.0;1.32355;5.10919;2.91953;0.18065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.99;0.99;0.0;0.297;2.277;0.0;9.53292;10.7713;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
281.0;0.10699;1.02694;0.2;0.2;2.94;4.55;2.49;0.48;10.46;2.0;-2.55086;7.62464;2.205;1.0;-0.78121;3.66587;3.4125;1.2;-1.73634;4.44261;1.8675;2.5;-19.67484;9.58294;0.36;0.63;5.01467;3.89632;1.0e-5;4.31034;5.01483;2.14496;4.5;-2.09211;-3.70062;-2.49699;-0.22513;0.0;0.0;0.0;0.0;2.94711;4.55562;2.49699;0.48163;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.855;0.855;0.0;0.2565;1.9665;0.0;10.48135;11.5083;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
282.0;0.15059;1.1411;0.2;0.2;2.52;4.78;1.92;1.23;10.45;2.0;-2.976;7.62464;1.89;1.0;-0.74362;3.66587;3.585;1.2;-2.25181;4.44261;1.44;2.5;-7.67799;9.58294;0.9225;0.63;5.01478;4.31033;0.28238;4.31034;5.01483;2.14496;4.5;-1.95644;-4.17227;-1.90603;-1.06199;0.0;0.0;0.0;0.0;2.51144;4.72727;1.90603;1.22849;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.555;0.555;0.0;0.1665;1.2765;0.0;10.37324;11.51434;0.00363;15.97012;10.33822;4.06541;4.12891;2.14389;0.0;-0.00591;-8.69482;-0.01503;-0.00585
